0000075873-0001-4,J & U CORPORATION,BOBA LOCA,701 S VERMONT AVENUE,LOS ANGELES,701 VERMONT 90005-1518,,,,722110,Full-service restaurants,10,07/15/2003,,
0000072252-0001-1,EL COYOTE MEXICAN FOODS INC,,7312 BEVERLY BLVD,LOS ANGELES,7312 BEVERLY 90036-2535,,,,722110,Full-service restaurants,5,12/23/1985,,
0002523247-0001-2,MARIE D PETIT,GOLDEN BIRD,2847 CRENSHAW BLVD,LOS ANGELES,2847 CRENSHAW 90016-3603,,,,722110,Full-service restaurants,10,09/30/2010,,"(34.0298, -118.3351)"
0002646836-0001-3,SHEIK MAHBUB AHMED,ROYAL CURRY CAFE,4329 LANKERSHIM BLVD,NORTH HOLLYWOOD,4329 LANKERSHIM 91602-2705,,,,722110,Full-service restaurants,4,12/01/2012,,"(34.149, -118.365)"
0000538517-0001-0,MS PARK ENTERPRISES INC,SO KONG DONG SOON TOFU RESTAURANT,2716 W OLYMPIC BLVD UNIT #104-106,LOS ANGELES,2716 OLYMPIC 90006-2600,,,,722110,Full-service restaurants,10,01/01/2003,,"(34.0526, -118.2922)"
0000295584-0001-1,ESTELA SERRANO,NO Q NO,3224 VENICE BLVD,LOS ANGELES,3224 VENICE 90019-6240,,,,722110,Full-service restaurants,10,02/01/2001,,"(34.0435, -118.3191)"
0000149406-0001-5,JAVIER CERVANTES,JAVIER TACOS MEXICO #2,913 S BROADWAY,LOS ANGELES,913 BROADWAY 90015-1609,POST OFFICE BOX #191,BELL,90201-0191,722110,Full-service restaurants,14,03/29/2004,,"(34.0421, -118.2562)"
0000633178-0001-2,NORTH OF THE BORDER MEXICAN RESTAURANTS INC,PRESIDENTE,18441 DEVONSHIRE STREET,NORTHRIDGE,18441 DEVONSHIRE 91325-1007,15455 SAN FERNANDO MISSION BLVD #202,MISSION HILLS,91345-1386,722110,Full-service restaurants,12,02/08/1988,,"(34.2572, -118.535)"
0000372567-0001-9,FAR SEA FOOD INC,DENNYS RESTAURANT,8330 TOPANGA CANYON BLVD,CANOGA PARK,8330 TOPANGA CANYON 91304-2342,,,,722110,Full-service restaurants,3,07/08/1996,,"(34.2208, -118.6059)"
0002104363-0001-2,MARINAHOP INC,IHOP MARINA #3095,4070 LINCOLN BLVD,MARINA DEL REY,4070 LINCOLN 90292-5614,1445 5TH STREET,SANTA MONICA,90401-2401,722110,Full-service restaurants,11,06/01/2006,,"(33.9864, -118.444)"
0002750843-0001-1,TIGRAN ARUTUNYAN,LA PIZZA LAND AND BAKERY,4837 LAUREL CANYON BLVD,VALLEY VILLAGE,4837 LAUREL CANYON 91607-3747,,,,722110,Full-service restaurants,2,01/01/2014,,"(34.1585, -118.3964)"
0002567824-0001-5,BA RESTAURANT LLC,BA,5100 YORK BLVD,LOS ANGELES,5100 YORK 90042-1716,,,,722110,Full-service restaurants,14,11/10/2010,,"(34.121, -118.2047)"
0000814801-0001-8,SOCIETA GARIBALDINA DI MUTUA BENEFICENZA/C/,GARIBALDINA M.B. SOCIETY,4533 N FIGUEROA STREET,LOS ANGELES,4533 FIGUEROA 90065-3026,4533 N FIGUEROA STREET,LOS ANGELES,90065-3026,722110,Full-service restaurants,1,09/01/1968,,"(34.0968, -118.2065)"
0000718251-0001-1,KILLER PIZZA ENTERPRISES INC,,11633 SAN VICENTE BLVD #104,LOS ANGELES,11633 SAN VICENTE 90049-6512,11812 SAN VICENTE BLVD #200,LOS ANGELES,90049-6622,722110,Full-service restaurants,11,02/21/1989,,"(34.0539, -118.4631)"
0000419075-0001-1,HOWARD HUGHES JOHNNY ROCKET INC,,6081 CENTER DRIVE #109,LOS ANGELES,6081 CENTER 90045-8830,,,,722110,Full-service restaurants,11,05/14/2001,,"(33.9781, -118.393)"
0002406768-0001-9,PHOENICIAN ENTERPRISES CORP,SHARKY'S WOODFIRED MEXICAN GRILL,10119 RIVERSIDE DRIVE,TOLUCA LAKE,10119 RIVERSIDE 91602-2517,,,,722110,Full-service restaurants,4,05/15/2008,,"(34.1522, -118.3513)"
0002643791-0001-2,JUAN IGLESIAS,OSY RESTAURANT,5100 S VERMONT AVENUE,LOS ANGELES,5100 VERMONT 90037-3516,,,,722110,Full-service restaurants,9,10/05/2012,,"(33.9964, -118.2915)"
0000130127-0001-1,ISMAEL HUERTA,DON TACO,8149 FAIRCHILD AVENUE,WINNETKA,8149 FAIRCHILD 91306-2012,20633 CANTARA STREET,WINNETKA,91306-1706,722110,Full-service restaurants,3,10/20/2003,,"(34.218, -118.5879)"
0000791357-0001-6,YOO & JUNG INTERNATIONAL INC,CHAM CHAM CHAM,3250 W OLYMPIC BLVD #314,LOS ANGELES,3250 OLYMPIC 90006-2371,,,,722110,Full-service restaurants,10,02/06/2004,,"(34.0526, -118.3074)"
0000125146-0001-3,VARTEN/HARUTYUN KAVAFYAN,ARTS SUBS,20855 VENTURA BLVD #9,WOODLAND HILLS,20855 VENTURA 91364-0840,,,,722110,Full-service restaurants,3,10/16/1994,,"(34.1663, -118.5872)"
0002614596-0001-7,PARIS RICE / CHRIS RICE,THE BLACK FIG,960 E 3RD STREET,LOS ANGELES,960 3RD 90013-1822,1452 SILVER LAKE BLVD,LOS ANGELES,90026-1346,722110,Full-service restaurants,14,06/20/2012,,"(34.0459, -118.2347)"
0002676510-0001-3,YARD  HOUSE USA INC,YARD HOUSE #8350,13455 MAXELLA AVENUE SUITE #170,MARINA DEL REY,13455 MAXELLA 90292-8810,1000 DARDEN CENTER DRIVE,ORLANDO,32837-4032,722110,Full-service restaurants,11,06/02/2013,,"(33.9869, -118.4407)"
0000604426-0001-8,FLORA ALONSO,ALONSO FRUITS,1517 E 77TH PLACE,LOS ANGELES,1517 77TH 90001-2605,,,,722110,Full-service restaurants,0,08/28/2002,,"(33.9691, -118.2473)"
0000106174-0001-0,ROMALDO H FELIPE,JUNIOR PIZZA,3520 N FIGUEROA STREET #7,LOS ANGELES,3520 FIGUEROA 90065-2463,3349 GASSEN PLACE #B,LOS ANGELES,90065-2758,722110,Full-service restaurants,1,01/02/1995,,"(34.0889, -118.2147)"
